127.0.0.1 - - [09/Nov/2022:10:11:36 +0900] "GET / HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:16:26 +0900] "GET /z01_homework/a07_answer.html HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:16:26 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:16:40 +0900] "GET /z01_homework/a07_answer.html HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:16:40 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:20:11 +0900] "GET /a04_cssBasic/a16_boxingExp.html HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:20:11 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:22:35 +0900] "GET /a04_cssBasic/a16_boxingExp.html HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:22:35 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:27:04 +0900] "GET /a04_cssBasic/a16_boxingExp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:27:04 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:27:09 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:27:18 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:27:30 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:27:51 +0900] "GET /a04_cssBasic/a16_boxingExp.html HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:27:51 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:28:08 +0900] "GET /a04_cssBasic/a16_boxingExp.html HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:28:08 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:28:17 +0900] "GET /a04_cssBasic/a16_boxingExp.html HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:28:17 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:33:46 +0900] "GET /a04_cssBasic/a16_boxingExp.html HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:33:46 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:34:03 +0900] "GET /a04_cssBasic/a16_boxingExp.html HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:34:03 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:41:00 +0900] "GET /a04_cssBasic/a16_boxingExp.html HTTP/1.1" 200 940
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:41:00 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:41:07 +0900] "GET /a04_cssBasic/a16_boxingExp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:41:07 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:43:42 +0900] "GET /a04_cssBasic/a16_boxingExp.html HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:43:42 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:49:19 +0900] "GET /a04_cssBasic/a16_boxingExp.html HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:49:19 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:49:26 +0900] "GET /a04_cssBasic/a16_boxingExp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:49:27 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:50:49 +0900] "GET /a04_cssBasic/a16_boxingExp.html HTTP/1.1" 200 1755
0:0:0:0:0:0:0:1 - - [09/Nov/2022:10:50:49 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:06:51 +0900] "GET /a04_cssBasic/a16_boxingExp.html HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:06:51 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:06:56 +0900] "GET /a04_cssBasic/a16_boxingExp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:06:56 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:18:04 +0900] "GET /a04_cssBasic/a17_boxStyle.html HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:18:04 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:18:46 +0900] "GET /a04_cssBasic/a17_boxStyle.html HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:19:01 +0900] "GET /a04_cssBasic/a17_boxStyle.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:19:01 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:19:13 +0900] "GET /a04_cssBasic/a17_boxStyle.html HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:19:13 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:32:09 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:32:09 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:33:48 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:33:48 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:36:48 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:36:48 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:36:50 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:36:50 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:38:34 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:38:34 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:38:45 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:38:46 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:39:09 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:39:09 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:39:10 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:39:10 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:39:11 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:39:11 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:39:17 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:39:17 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:39:40 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:39:40 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:40:10 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:40:10 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:41:42 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:41:43 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:41:57 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 200 1341
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:41:57 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:42:09 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:42:09 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:42:14 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 200 1339
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:42:14 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:43:38 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:43:38 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:44:02 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 200 1342
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:44:02 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:44:06 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:44:06 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:44:06 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:44:12 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 200 1342
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:44:12 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:11:44:12 +0900] "GET /a04_cssBasic/a18_border_radius.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:08:13 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:08:13 +0900] "GET /a04_cssBasic/media/spongebob.png HTTP/1.1" 200 61357
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:08:13 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:08:47 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:08:48 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:09:13 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:09:13 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:09:32 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:09:32 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:10:03 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:10:03 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:10:33 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:10:33 +0900] "GET /a04_cssBasic/media/spongebob.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:10:33 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:10:48 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:10:48 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:12:37 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:12:37 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:12:50 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 200 1594
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:12:50 +0900] "GET /a04_cssBasic/media/spongebob.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:12:50 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:25:51 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 200 2717
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:25:51 +0900] "GET /a04_cssBasic/media/cloud.jpg HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:25:51 +0900] "GET /a04_cssBasic/media/spongebob.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:25:51 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:26:07 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:26:08 +0900] "GET /a04_cssBasic/media/cloud.jpg HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:26:08 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:26:10 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:26:10 +0900] "GET /a04_cssBasic/media/cloud.jpg HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:26:10 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:26:10 +0900] "GET /a04_cssBasic/media/cloud.jpg HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:26:10 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:26:10 +0900] "GET /a04_cssBasic/media/cloud.jpg HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:26:14 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:26:14 +0900] "GET /a04_cssBasic/media/images.jpg HTTP/1.1" 200 4246
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:26:14 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:26:27 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:26:27 +0900] "GET /a04_cssBasic/media/images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:26:27 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:26:34 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:26:34 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:35:01 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 200 2722
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:35:01 +0900] "GET /a04_cssBasic/media/spongebob.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:35:01 +0900] "GET /a04_cssBasic/media/images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:35:01 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:35:16 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:36:42 +0900] "GET /a04_cssBasic/a19_backgroundImg.html HTTP/1.1" 200 2784
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:36:42 +0900] "GET /a04_cssBasic/media/images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:36:42 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:40:53 +0900] "GET /a04_cssBasic/a20_text_shadow.html HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:40:53 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:41:00 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:41:01 +0900] "GET /a04_cssBasic/a20_text_shadow.html HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:41:02 +0900] "GET /a04_cssBasic/a20_text_shadow.html HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:41:02 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:47:08 +0900] "GET /a04_cssBasic/a20_text_shadow.html HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:47:09 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:47:15 +0900] "GET /a04_cssBasic/a20_text_shadow.html HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:47:15 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:48:12 +0900] "GET /a04_cssBasic/a20_text_shadow.html HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:48:13 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:48:23 +0900] "GET /a04_cssBasic/a20_text_shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:48:23 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:48:48 +0900] "GET /a04_cssBasic/a20_text_shadow.html HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:48:49 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:49:28 +0900] "GET /a04_cssBasic/a20_text_shadow.html HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:49:28 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:49:39 +0900] "GET /a04_cssBasic/a20_text_shadow.html HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [09/Nov/2022:12:49:39 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:10:46 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:10:46 +0900] "GET /a04_cssBasic/media/spongebob.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:10:46 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:10:55 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:10:55 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:15:17 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:15:17 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:15:17 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:15:18 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 403 681
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:15:18 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:15:18 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:15:19 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:15:19 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:15:26 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:21:13 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:21:15 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:21:16 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:21:16 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:21:17 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:21:17 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:21:17 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2022:14:21:18 +0900] "GET /a04_cssBasic/a21_box_shadow.html HTTP/1.1" 304 -
